Topic,Count,Name,Representation
116,85,116_hartelijk_bedankt_alvast_voorbaat,"['hartelijk', 'bedankt', 'alvast', 'voorbaat', 'dank', 'hartstikke', 'vriendelijk', 'dankje', 'nogmaals', 'dankjewel']"
117,159,117_reden_oorzaak_vreemd_komt,"['reden', 'oorzaak', 'vreemd', 'komt', 'elkaar', 'uitleggen', 'mee', 'bijwerking', 'verklaring', 'idee']"
118,85,118_ditiste_dietiste_voeding_dieet,"['ditiste', 'dietiste', 'voeding', 'dieet', 'dietist', 'bijvoeding', 'suiker', 'nutridrink', 'machtiging', 'glutenvrij']"
119,103,119_adres_verhuisd_gewijzigd_mailadres,"['adres', 'verhuisd', 'gewijzigd', 'mailadres', 'email', 'oude', 'nieuwe', 'wijzigen', 'veranderd', 'juiste']"
120,96,120_reactie_bedankt_dank_alvast,"['reactie', 'bedankt', 'dank', 'alvast', 'hartelijk', 'dankjewel', 'reacties', 'oke', 'voorbaat', 'reaktie']"
121,126,121_mening_reactie_tegemoet_denken,"['mening', 'reactie', 'tegemoet', 'denken', 'graag', 'hoor', 'gaarne', 'hierover', 'bovenstaande', 'zie']"
122,119,122_bericht_bedankt_dank_hoi,"['bericht', 'bedankt', 'dank', 'hoi', 'dankjewel', 'terugkoppeling', 'mail', 'hallo', 'berichtje', 'groetjes']"
123,141,123_alvast_bedankt_groetjes_dank,"['alvast', 'bedankt', 'groetjes', 'dank', 'dankjewel', 'groeten', 'groet', 'merci', 'spons', 'hartelijk']"
124,96,124_horen_fijn_nieuws_goed,"['horen', 'fijn', 'nieuws', 'goed', 'hoor', 'idee', 'klinkt', 'bedankt', 'gerust', 'hartelijk']"
125,273,125_telefonisch_contact_bellen_telefoon,"['telefonisch', 'contact', 'bellen', 'telefoon', 'opnemen', 'hierover', 'bel', 'mogelijk', 'bereikbaar', 'spreken']"
126,134,126_thiosix_herhaalrecept_recept_nieuw,"['thiosix', 'herhaalrecept', 'recept', 'nieuw', 'apotheek', 'calcium', 'uitschrijven', 'pantoprazol', 'graag', 'kauwtabletten']"
127,122,127_consult_telefonisch_telefonische_afspraak,"['consult', 'telefonisch', 'telefonische', 'afspraak', 'mogelijk', 'omzetten', 'omgezet', 'contact', 'inplannen', 'gesprek']"
128,70,128_cardioloog_hart_hartkloppingen_overslagen,"['cardioloog', 'hart', 'hartkloppingen', 'overslagen', 'moeheid', 'afwijkingen', 'hartfilmpje', 'extreme', 'ecg', 'vaatcentrum']"
129,90,129_foto_fotos_bestand_stuur,"['foto', 'fotos', 'bestand', 'stuur', 'bijgevoegd', 'groot', 'bijgaand', 'beelden', 'toegevoegd', 'lukte']"
130,144,130_zetpillen_heen_pillen_tabletten,"['zetpillen', 'heen', 'pillen', 'tabletten', 'medicijnen', 'thiosix', 'xeljanz', 'azathiopirine', 'gestopt', 'voorraad']"
131,142,131_informatie_info_weten_vertellen,"['informatie', 'info', 'weten', 'vertellen', 'informeren', 'ter', 'graag', 'bekend', 'hoogte', 'hierover']"
132,94,132_cortiment_covid_positief_getest,"['cortiment', 'covid', 'positief', 'getest', 'tabletten', 'stoppen', 'onderste', 'calcium', 'gestart', 'stop']"
133,107,133_purinethol_nieuw_recept_aanvragen,"['purinethol', 'nieuw', 'recept', 'aanvragen', 'bestellen', 'herhaalrecept', 'graag', 'allopurinol', 'voorraad', 'herhaal']"
