model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics
robbert,"(15, 10, 30)",15,10,30,0.6396226415094339,0.36038564807238327,0.5390755326607904,0.5766066,0.6647778399280138,318
robbert,"(15, 10, 40)",15,10,40,0.6519607843137255,0.36377973941144126,0.5384409853842387,0.5754457,0.6572873853936136,306
robbert,"(15, 15, 10)",15,15,10,0.6366310160427807,0.34957235792210234,0.5205758215395133,0.5684392,0.7360587562927114,374
robbert,"(15, 15, 20)",15,15,20,0.648036253776435,0.36409785338711903,0.5336168731365628,0.56908846,0.693158880322965,331
robbert,"(15, 15, 30)",15,15,30,0.6487341772151899,0.3663835029201242,0.5402592111161204,0.57128835,0.6558525255964396,316
robbert,"(15, 15, 40)",15,15,40,0.6545454545454545,0.37011031670866607,0.5370259782539771,0.5746564,0.6592086383423721,297
robbert,"(20, 7, 10)",20,7,10,0.6643333333333333,0.3613899185677998,0.5110121435122871,0.54677194,0.735572363141127,300
robbert,"(20, 7, 20)",20,7,20,0.6787878787878788,0.3597317034656169,0.5201210089598715,0.55242014,0.7065833313066952,264
robbert,"(20, 7, 30)",20,7,30,0.6689922480620155,0.36438125304742747,0.5231104841400297,0.5586645,0.6837228531822271,258
robbert,"(20, 7, 40)",20,7,40,0.6643410852713179,0.36122008424433105,0.5332385920425359,0.5615253,0.6398988302244705,258
robbert,"(25, 5, 10)",25,5,10,0.6752988047808764,0.35956660401071194,0.5062986521038613,0.5299796,0.7227072642817189,251
robbert,"(25, 5, 20)",25,5,20,0.6690376569037657,0.3691297642803261,0.5168973518309502,0.54367757,0.699749507526934,239
robbert,"(25, 5, 30)",25,5,30,0.6771300448430493,0.36595175952315456,0.5176761327513751,0.5441101,0.6906053162771468,223
robbert,"(25, 5, 40)",25,5,40,0.6828703703703703,0.3652259406230431,0.5192236732830803,0.5477866,0.6700065663075464,216
robbert,"(25, 7, 10)",25,7,10,0.6785123966942149,0.36404223318920015,0.5045143269353051,0.5307509,0.7271334419611372,242
robbert,"(25, 7, 20)",25,7,20,0.6872246696035242,0.36598561690591436,0.5124893380861079,0.537253,0.7089423380918797,227
robbert,"(25, 7, 30)",25,7,30,0.6869767441860465,0.3698051467976146,0.5114145062056945,0.54175264,0.7069238065128043,215
robbert,"(25, 7, 40)",25,7,40,0.6809090909090909,0.3669694617623886,0.5241989276286848,0.54577565,0.6665774945888762,220
robbert,"(25, 10, 10)",25,10,10,0.685,0.36493046734526385,0.5033323300117286,0.5280649,0.734477978550062,240
robbert,"(25, 10, 20)",25,10,20,0.66890756302521,0.37020103701300894,0.5190926073117728,0.53889376,0.6882463094919623,238
robbert,"(25, 10, 30)",25,10,30,0.6668161434977579,0.37384812717722204,0.5221804920114886,0.5481408,0.6730951628201075,223
robbert,"(25, 10, 40)",25,10,40,0.6740909090909091,0.3678409948304288,0.5270140237713823,0.55010533,0.6528855273717746,220
robbert,"(25, 15, 10)",25,15,10,0.6761506276150627,0.36334211378354353,0.5022762845538692,0.5276301,0.7358885186896569,239
robbert,"(25, 15, 20)",25,15,20,0.6799126637554586,0.3650646225933777,0.5160924221069826,0.53367996,0.6918942581288455,229
robbert,"(25, 15, 30)",25,15,30,0.673542600896861,0.36833557922170623,0.5184085118773197,0.55056065,0.6696660911014373,223
robbert,"(25, 15, 40)",25,15,40,0.6738738738738739,0.36455877722397545,0.5211806713419574,0.55171126,0.6525207325080863,222
robbert,"(30, 7, 10)",30,7,10,0.6789473684210526,0.36411108172209705,0.5068981328096414,0.52460796,0.7111554269315888,228
robbert,"(30, 7, 20)",30,7,20,0.6932038834951456,0.3667237157498893,0.5058885276020877,0.5313259,0.7059267005520562,206
robbert,"(30, 7, 30)",30,7,30,0.6935960591133005,0.3664073417140503,0.5116920236548783,0.53916866,0.6848658770884506,203
robbert,"(30, 7, 40)",30,7,40,0.697029702970297,0.3686467491840791,0.515494567814088,0.5395137,0.6804640190666116,202
robbert,"(35, 5, 10)",35,5,10,0.6842857142857143,0.366881689783684,0.5056284270544091,0.5210531,0.7011114083513704,210
robbert,"(35, 5, 20)",35,5,20,0.6929347826086957,0.36767472127540346,0.5063402024364974,0.5248738,0.6835526155791727,184
robbert,"(35, 5, 30)",35,5,30,0.6890625,0.37221087754240284,0.5178473468151846,0.531565,0.6527882487414577,192
robbert,"(35, 5, 40)",35,5,40,0.6787709497206704,0.37168731990324355,0.5112328835606734,0.5398101,0.655560689705489,179
robbert,"(35, 7, 10)",35,7,10,0.6969072164948453,0.3674227436411458,0.4980825747362419,0.5155084,0.7191079549599941,194
robbert,"(35, 7, 20)",35,7,20,0.6928571428571428,0.3690478487880635,0.5073204221150368,0.5268422,0.6842822053065493,182
robbert,"(35, 7, 30)",35,7,30,0.6977900552486188,0.3699606466060448,0.508019517457616,0.5318797,0.6739463508353802,181
robbert,"(35, 7, 40)",35,7,40,0.6924418604651162,0.3720950165320753,0.5100796763447842,0.5308434,0.6634888980763151,172
robbert,"(35, 10, 10)",35,10,10,0.6897435897435897,0.36393598814967154,0.49693829285339025,0.51662713,0.7211021668814903,195
robbert,"(35, 10, 20)",35,10,20,0.6950819672131148,0.37218496524708583,0.5053500981357688,0.5231023,0.6897541282618741,183
robbert,"(35, 10, 30)",35,10,30,0.6966480446927374,0.3732521108819958,0.5084674303142654,0.52994126,0.6752352926870789,179
robbert,"(35, 10, 40)",35,10,40,0.6876470588235294,0.3731687889352192,0.5106539877342656,0.5316132,0.6605705391668085,170
robbert,"(35, 15, 10)",35,15,10,0.6902061855670103,0.36653055404320334,0.4994768854565188,0.5121568,0.7122254918650746,194
robbert,"(35, 15, 20)",35,15,20,0.6923913043478261,0.3711301663211345,0.5070630410363489,0.5246625,0.678542766117853,184
robbert,"(35, 15, 30)",35,15,30,0.6940540540540541,0.372286417693129,0.512016099823739,0.53011113,0.6637320946521073,185
robbert,"(35, 15, 40)",35,15,40,0.6912280701754386,0.3752478231920027,0.5076186295583442,0.53144574,0.6630511442398891,171
robbert,"(40, 7, 10)",40,7,10,0.7040229885057471,0.37300962528568116,0.4962715605410433,0.50785106,0.7083829859675576,174
robbert,"(40, 7, 20)",40,7,20,0.6938650306748466,0.3735768801967344,0.4987500945822144,0.5213356,0.6858143437340403,163
