min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,npmi,doc_assignment_pct,number_of_topics,model_name,run_id,chunk_id
50,12,30,0.6882352941176471,0.4617384941699132,-0.026691614937367,0.5474312149987826,119,qwen3,run_001,21
50,12,40,0.6743362831858407,0.4754765149267789,-0.0199102326131966,0.5470416362308255,113,qwen3,run_001,21
50,12,50,0.6778761061946903,0.4719508643828332,-0.0267946117635507,0.5108838568298028,113,qwen3,run_001,21
50,15,10,0.6559701492537313,0.4606569026083287,-0.030238834169598,0.5919405892378865,134,qwen3,run_001,22
50,15,20,0.6596774193548387,0.4715389660851414,-0.0168412055796985,0.5562210859508157,124,qwen3,run_001,22
50,15,30,0.67,0.4659356193838959,-0.0275203709632461,0.5625760896031167,120,qwen3,run_001,22
50,15,40,0.6825688073394496,0.4666286941490997,-0.0283477368686869,0.5648405161918676,109,qwen3,run_001,22
50,15,50,0.6867256637168142,0.4789315600414459,-0.0243022663912556,0.5237886535183832,113,qwen3,run_001,22
10,5,10,0.6283011430823807,0.369906140612516,-0.1603054140242321,0.7046749452154858,512,robbert,run_001,0
10,5,20,0.6630513376717281,0.3860922076584125,-0.1383814074050625,0.6822498173849525,418,robbert,run_001,0
10,5,30,0.6685655100983946,0.3906401458660288,-0.1358407542761594,0.6682736790844899,390,robbert,run_001,0
10,5,40,0.678724010253489,0.3971798512455273,-0.1209720659530713,0.6725103481860238,354,robbert,run_001,0
10,5,50,0.6869539017776438,0.3912559527054451,-0.1275480530770075,0.6617482347212077,334,robbert,run_001,0
10,7,10,0.6261808367071525,0.3694816644428463,-0.158167771232665,0.6891648405161919,523,robbert,run_001,0
10,7,20,0.6658694092322411,0.3833233012597037,-0.1445413493637706,0.6929388848307767,421,robbert,run_001,0
