min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
40,7,40,0.7007064868336544,0.3794564481624452,0.659962547727328,157,robbert
40,10,10,0.6943308007013442,0.3746022105925821,0.7107906320679005,172,robbert
40,10,20,0.6922615476904619,0.3778250009728833,0.6816556822879933,168,robbert
40,10,30,0.6989314896291641,0.3806386976856311,0.6556336486782266,160,robbert
40,10,40,0.697187704381949,0.3806419415468818,0.6490187018166784,154,robbert
40,15,10,0.6859931113662457,0.3720512001362582,0.7037622510275056,175,robbert
40,15,20,0.704259148170366,0.3772367285713717,0.6745057029597024,168,robbert
40,15,30,0.694462126034373,0.3805162325791394,0.6679150757557334,158,robbert
40,15,40,0.7038025350233489,0.3824082292818563,0.6590627203968968,151,robbert
15,7,10,0.6519182301876225,0.352683255496759,0.7520367713222598,367,robbert
15,7,20,0.6650544135429263,0.3599198668614484,0.6864223351735208,339,robbert
15,7,30,0.6690164484726419,0.3626275051505883,0.6711252705561905,305,robbert
15,7,40,0.6835488505747126,0.3613317619320149,0.6756244072083465,285,robbert
15,10,10,0.6398518126488489,0.3540403886883941,0.7176974148203993,387,robbert
15,10,20,0.6598802395209581,0.3647358363571505,0.678542766117853,344,robbert
15,10,30,0.6543289346636627,0.3615802424764232,0.6647778399280138,318,robbert
15,10,40,0.6667782987273945,0.3656300673689518,0.6572873853936136,306,robbert
15,15,10,0.6548209366391184,0.3498832161702179,0.7360587562927114,374,robbert
15,15,20,0.651831668180442,0.3651904790106292,0.6809747318757752,340,robbert
15,15,30,0.6615585262471471,0.3679907213716607,0.6598895887545904,315,robbert
15,15,40,0.6732433367947387,0.3696111236910427,0.6592086383423721,297,robbert
20,5,10,0.6603078982597055,0.3585879445994955,0.7236557309273085,304,robbert
20,5,20,0.6742899299151605,0.3672215947463548,0.6904350786740923,277,robbert
20,5,30,0.6686976389946687,0.365495792739694,0.661494686154819,267,robbert
20,5,40,0.6747333880229697,0.3671723460169955,0.6659938228069748,247,robbert
20,7,10,0.6756114130434783,0.3616455174129951,0.735572363141127,300,robbert
20,7,20,0.6892153073057595,0.3629113909541602,0.7065833313066952,264,robbert
20,7,30,0.6778259157148484,0.366499969689152,0.6837228531822271,258,robbert
20,7,40,0.6711250983477577,0.3623360374773474,0.6398988302244705,258,robbert
20,10,10,0.6762266758811334,0.3595353057605957,0.7281791872370437,295,robbert
20,10,20,0.6754047802621435,0.3686819560424774,0.7042729638366692,265,robbert
20,10,30,0.6653726708074534,0.3706140844142552,0.6678177971254164,262,robbert
20,10,40,0.6743714517437145,0.3707153361877249,0.6621513169094579,251,robbert
20,15,10,0.6772540983606558,0.3573151602941541,0.7146574576229967,299,robbert
20,15,20,0.6809631301730624,0.3675096678506842,0.692721126486539,272,robbert
20,15,30,0.6804245283018868,0.367397834199702,0.6668693304798269,258,robbert
20,15,40,0.678267907729664,0.3651541709460543,0.6574819426542474,251,robbert
25,5,10,0.6845718901453958,0.3610917726035043,0.7227072642817189,251,robbert
25,5,20,0.6754537597234227,0.3720782910132083,0.7032758578759211,235,robbert
25,5,30,0.6844262295081968,0.3697481071559458,0.6906053162771468,223,robbert
25,5,40,0.6905766526019691,0.3655404725604078,0.6700065663075464,216,robbert
25,7,10,0.6818181818181818,0.3658131454555425,0.7271334419611372,242,robbert
25,7,20,0.6927199642697632,0.3682014888333003,0.7089423380918797,227,robbert
25,7,30,0.6952830188679245,0.3714332135150607,0.7069238065128043,215,robbert
25,7,40,0.6880184331797236,0.369887035846117,0.6665774945888762,220,robbert
25,10,10,0.690456081081081,0.3672071757184299,0.734477978550062,240,robbert
25,10,20,0.6802521008403362,0.367282312871185,0.6835526155791727,241,robbert
25,10,30,0.6751708428246014,0.3758146188357614,0.6730951628201075,223,robbert
25,10,40,0.6807727690892365,0.3694133826436144,0.6528855273717746,220,robbert
25,15,10,0.6840764331210191,0.3653670030837042,0.7358885186896569,239,robbert
25,15,20,0.692722371967655,0.3695485434204775,0.7006006955422067,226,robbert
25,15,30,0.6798917944093779,0.374026870367621,0.6593302366302682,225,robbert
25,15,40,0.6804922515952598,0.3664459869689789,0.6525207325080863,222,robbert
30,5,10,0.687170474516696,0.357584417264447,0.714146744813833,230,robbert
30,5,20,0.6833648393194707,0.3692605938123786,0.6927940854592768,214,robbert
30,5,30,0.6842105263157895,0.3694404942559403,0.6642671271188502,215,robbert
30,5,40,0.6826550387596899,0.363487464235897,0.6456382694131667,208,robbert
30,7,10,0.6827647319450598,0.3652516628184702,0.7111554269315888,228,robbert
30,7,20,0.6989194499017681,0.370316274626516,0.7059267005520562,206,robbert
30,7,30,0.6973161033797217,0.3700796420761516,0.6848658770884506,203,robbert
30,7,40,0.7020958083832335,0.3715805900345522,0.6804640190666116,202,robbert
30,10,10,0.6941066417212348,0.3650556971681407,0.7478294705610545,216,robbert
30,10,20,0.7000968992248062,0.3683735794532911,0.703494734794134,209,robbert
30,10,30,0.6860183841315917,0.3717419476040357,0.6633429801308398,209,robbert
30,10,40,0.6961184882533197,0.36517134969673,0.670736156034923,198,robbert
30,15,10,0.6892196662156067,0.3618923815715464,0.7182567669447214,224,robbert
30,15,20,0.6930644367929168,0.372971033794899,0.7043945621245653,206,robbert
30,15,30,0.6810810810810811,0.3730308873838049,0.6754784892628711,206,robbert
30,15,40,0.6993329912775782,0.3663937214343257,0.6706875167197646,197,robbert
35,5,10,0.6854954523695548,0.368625094416918,0.7011114083513704,210,robbert
35,5,20,0.6999454446262957,0.3763765968733668,0.6865925727765753,185,robbert
